,lat,lon
Rajarajeshwarinagar,12.9061275,77.519558
Vimanapura,12.96218,77.6635462
Dodsworth Layout,12.9708022,77.7440554
Vasantapura main road,12.8954559,77.5518509
CQAL Layout,13.107164,77.5682911
Lake City,12.8997376,77.6173368
Lakshmipura,13.0875408,77.5314154
Old Town,12.961551,77.6155231
Okalipura,12.9822494,77.5678231
Maruthi Extension,12.9976424,77.5631012
Vidyapeeta,12.9340347,77.5659416
Meenakshi Layout,12.864332,77.5879452
S R Layout,12.94114,77.6031888
GD Layout,13.0035333,77.5479036
Shirdi Sai Nagar,12.969801,77.6303775
"JP Nagar 7th Phase,",12.9118423,77.5870665
J C Nagar,13.006983,77.5928253
Doddakammanahalli,12.8560323,77.5994072
Medi Agrahara,13.1029398,77.52051
whitefiled,13.0318443,77.7618779
N R Layout,12.9558857,77.6512156
Richards Town,13.0042369,77.6170601
Manorayana Palya,13.0296633,77.6061427
Mahalakshmi Puram,12.9587893,77.565249
Attur Layout,13.0994536,77.5680336
Brooke Bond First Cross,12.964701,77.7495926
Glass Factory Layout,13.0339172,77.622515
Milk Colony,13.0093324,77.5583026
Chikkakannalli,12.893703,77.7081315
Nandi Hills,13.5379282,77.7324372
Thanisandra main road,13.0422158,77.6250771
Saptagiri Layout,12.8451256,77.6457413
Doddabanahalli,13.0359332,77.7401989
D Group Employees Layout,13.0987089,77.6926444
"Whitefield,",12.9963995,77.7614229
Kempegowda Nagar,13.0025745,77.5256814
Vaderahalli,13.0972541,77.5390599
4th Phase JP Nagar,12.9046372,77.5976425
2nd Block Jayanagar,12.939212,77.5838982
Singanayakanahalli,13.1478621,77.5693207
Udaya Nagar,12.9963615,77.6724503
